Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance OG,Performance Recov,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Expected xA,Expected A-xAG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,KP,1/3,PPA,CrsPA,PrgP
758,Guela Doué,ci CIV,DF,Rennes,fr Ligue 1,22,2002,0,0,0,13.7,0,2,2,0,0,0,1,1,0,29,11,0,43,15,0,78,0.5,0.5,1.1,1.6,1.4,0.9,0.03,-0.5,-0.5,41,53,85,0.0,0.15,0.15,0.0,0.15,0.04,0.08,0.12,0.04,0.12,13.7,28,21,14,12,2,22,32,68.8,10,12,1,11,15,43,65,1,0,15,3,20.0,1.09,0.22,0.0,0.0,22.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,39,2.84,28,2,2,3,3,1,8,0.58,6,0,0,0,2,0,18,19,48.6,502,669,75.0,9050,2831,17,47,13,6,53
759,Alfie Doughty,eng ENG,DF,Luton Town,eng Premier League,25,1999,0,0,0,32.5,2,8,10,2,0,0,5,0,0,31,9,13,340,31,0,185,1.3,1.3,6.3,7.6,5.4,1.7,0.05,0.7,0.7,94,106,164,0.06,0.25,0.31,0.06,0.31,0.04,0.19,0.23,0.04,0.23,32.5,63,40,29,18,16,37,82,45.1,45,51,9,42,31,94,43,4,2,26,8,30.8,0.8,0.25,0.08,0.25,16.3,2,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,115,3.54,57,47,4,6,1,0,16,0.49,8,5,1,2,0,0,23,12,65.7,1121,1686,66.5,20956,8325,70,71,43,24,106
760,Douglas,br BRA,MF,Nantes,fr Ligue 1,27,1997,0,0,0,19.7,0,0,0,0,0,0,7,0,0,48,24,0,20,26,0,126,1.2,1.2,1.1,2.3,1.6,-1.1,0.07,-1.2,-1.2,12,105,18,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.12,0.06,0.12,19.7,70,42,34,30,6,30,59,50.8,29,22,8,14,26,96,30,0,0,16,5,31.3,0.81,0.25,0.0,0.0,20.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,37,1.88,26,5,0,1,3,2,2,0.1,2,0,0,0,0,0,8,20,28.6,904,1040,86.9,15549,4365,17,85,11,1,105
761,Ismaël Doukouré,fr FRA,"MF,DF",Strasbourg,fr Ligue 1,21,2003,0,0,0,18.4,0,0,0,0,0,0,4,0,0,19,11,0,0,19,1,100,0.3,0.3,0.2,0.5,0.4,-0.2,0.03,-0.3,-0.3,15,80,7,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,18.4,23,16,7,14,2,13,21,61.9,8,19,7,12,19,42,29,2,0,9,0,0.0,0.49,0.0,0.0,0.0,25.5,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,24,1.3,19,1,0,0,1,3,0,0.0,0,0,0,0,0,0,14,17,45.2,660,771,85.6,12844,3733,9,62,5,0,80
762,Kamory Doumbia,ml MLI,MF,Brest,fr Ligue 1,21,2003,0,0,0,9.8,6,5,11,6,0,0,1,0,0,15,10,1,8,9,0,68,4.2,4.2,0.9,5,0.7,4.1,0.17,1.8,1.8,22,48,43,0.61,0.51,1.13,0.61,1.13,0.43,0.09,0.52,0.43,0.52,9.8,28,18,8,10,10,10,29,34.5,19,14,0,14,9,37,6,0,6,25,11,44.0,2.56,1.13,0.24,0.55,17.1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,27,2.76,22,0,2,3,0,0,7,0.72,7,0,0,0,0,0,10,13,43.5,420,487,86.2,6341,1497,12,42,6,0,48
763,Anastasios Douvikas,gr GRE,FW,Celta Vigo,es La Liga,25,1999,0,0,0,10.1,7,1,8,7,0,0,2,0,0,18,30,6,2,2,0,22,4.6,4.6,1.3,5.9,0.6,-0.3,0.18,2.4,2.4,10,13,53,0.7,0.1,0.8,0.7,0.8,0.46,0.13,0.59,0.46,0.59,10.1,15,7,2,6,7,3,8,37.5,5,6,3,3,2,17,9,0,7,26,15,57.7,2.59,1.49,0.27,0.47,13.5,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,20,1.99,11,0,3,4,2,0,2,0.2,2,0,0,0,0,0,35,28,55.6,105,166,63.3,1387,216,8,7,6,1,13
764,Artem Dovbyk,ua UKR,FW,Girona,es La Liga,27,1997,0,0,0,28.7,24,8,32,17,7,8,2,0,0,27,13,33,1,0,0,24,24.2,17.9,6.2,24.1,3.7,1.8,0.23,-0.2,-0.9,18,26,118,0.83,0.28,1.11,0.59,0.87,0.84,0.21,1.05,0.62,0.84,28.7,4,3,2,1,1,0,2,0.0,2,8,1,7,0,4,17,0,24,77,36,46.8,2.68,1.25,0.22,0.47,12.4,1,7,8,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,57,1.98,41,0,6,8,2,0,13,0.45,9,0,1,3,0,0,39,40,49.4,277,392,70.7,3272,471,27,9,10,0,26
765,Nikola Dovedan,at AUT,"MF,FW",Heidenheim,de Bundesliga,30,1994,0,0,0,7.3,3,1,4,3,0,0,0,1,0,10,24,0,8,1,0,43,1.9,1.9,0.6,2.6,0.8,0.4,0.14,1.1,1.1,12,22,25,0.41,0.14,0.55,0.41,0.55,0.26,0.09,0.35,0.26,0.35,7.3,14,9,2,10,2,5,25,20.0,20,9,0,9,1,15,3,0,3,14,5,35.7,1.92,0.69,0.21,0.6,16.1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,23,3.17,16,0,1,3,3,0,3,0.41,2,0,0,0,1,0,6,25,19.4,125,204,61.3,2162,589,8,12,3,0,22
766,Damion Downs,us USA,"FW,MF",Köln,de Bundesliga,20,2004,0,0,0,2.0,2,0,2,2,0,0,0,0,0,1,0,0,1,0,0,4,1.0,1.0,0.0,1,0.1,0.0,0.21,1.0,1.0,1,0,5,0.99,0.0,0.99,0.99,0.99,0.51,0.0,0.51,0.51,0.51,2.0,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,1,0,2,5,2,40.0,2.49,0.99,0.4,1.0,10.9,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,4,1.99,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0,1,6,14.3,24,36,66.7,316,48,0,0,1,1,0
767,Tommy Doyle,eng ENG,MF,Wolves,eng Premier League,23,2001,0,0,0,13.6,0,0,0,0,0,0,2,0,0,11,4,0,28,12,0,93,0.4,0.4,0.4,0.9,0.9,-0.4,0.03,-0.4,-0.4,21,81,17,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,13.6,26,13,11,10,5,14,23,60.9,9,22,9,13,12,38,18,0,0,14,3,21.4,1.03,0.22,0.0,0.0,26.2,2,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,26,1.91,20,6,0,0,0,0,5,0.37,4,1,0,0,0,0,0,4,0.0,801,955,83.9,15164,4208,8,86,7,2,81
